# name alts lats offset cos1 sin1 cos2 sin2 lya kp Rsq diff rdiff Fvalue ddof oferr c1err s1err c2err s2err lyaerr kperr derr rderr
reference 60 -22.5 18681739.8	-7845681.61	2481770.71	4475098.51	4617258.47	17303486.8	4960942.92 	0.267440 	0.0	0.0 	9.55282071	157 2859743.48	2193209.86	2168803.3	2256925.38	2145170.93	4144466.64	1913234.32 	0.1	0.01
MIPAS 60 -17.5 27739859.9	-5978684.91	2230939.93	4966828.91	-508533.692	27449373	1371077.26 	0.477917 	8847275.88	0.265826752 	18.6131863	122 2167130.1	1561557.62	1567666.55	1639809.54	1561642.19	3087630.84	1318346.5 	1084986.59	0.0279393731
SCIAMACHY 60 -17.5 -1372816.3	-5900911.12	-1292071.16	348208.213	-63026.4666	4706200.78	2505155.27 	0.572276 	-27173775.9	-0.873079777 	7.80473073	35 1507392.52	1333937.15	1144185.06	1223102.92	1272843	2343195.46	1506024.1 	1414995	0.0371295009
reference 60 -17.5 17869086.7	-5548055.66	2490566.55	2923536.87	1246333.46	20155355.7	4389279.85 	0.218437 	0.0	0.0 	7.63933211	164 2953954.24	2261654.07	2216399.79	2329252.84	2235151.21	4290825.35	2002253.73 	0.1	0.01
MIPAS 60 -12.5 28329789.4	-2425076.19	1241940.92	7430603.87	-1423772.01	26133751.5	1112523.98 	0.427491 	7762168.04	0.234724975 	14.9339765	120 2315727.98	1679265.95	1684161.93	1750691.51	1668191.72	3316558.73	1412752.53 	1148787.69	0.0344999685
SCIAMACHY 60 -12.5 -359428.925	-5708146.78	-842481.114	1004634.42	1094885.99	5778092.1	1998002 	0.602737 	-25941982.7	-0.839840098 	7.83900272	31 1569685.51	1469519.41	1206163.88	1306086.86	1338838.02	2647449.01	1600544 	1436605.97	0.0401054482
reference 60 -12.5 18942645.1	-1896738.43	1710625.74	6116200.33	1447509.26	21631576.5	3581237.27 	0.226311 	0.0	0.0 	7.70272781	158 2871898.1	2227311.33	2172397.82	2274179.36	2181228.6	4241171.14	1954030.83 	0.1	0.01
MIPAS 60 -7.5 27031499.9	-1905257.44	-463384.272	6862199.99	-128617.294	23874864.8	1642871.96 	0.470635 	7372449.97	0.232358623 	18.0774755	122 1958536.28	1411252.26	1416773.19	1481972.17	1411328.7	2790435.62	1191451.06 	962947.31	0.0289767874
SCIAMACHY 60 -7.5 -158235.42	-5783556.18	-1360542.51	656764.862	1160840.91	5309836.71	1959581.16 	0.561771 	-24385796.1	-0.831384096 	6.83687384	32 1664661.58	1475268.72	1344600.82	1432915.34	1386089.54	2683634.65	1660551.65 	1386210.47	0.0415498183
reference 60 -7.5 18234444.5	-1583782.32	-685492.835	5945882.33	2345923.21	20297214.1	3696444.04 	0.245441 	0.0	0.0 	8.72826841	161 2616436.76	1997329.39	1991112.67	2083610.89	1962528.17	3821171.8	1769199.51 	0.1	0.01
