# name alts lats offset cos1 sin1 cos2 sin2 lya kp Rsq diff rdiff Fvalue ddof oferr c1err s1err c2err s2err lyaerr kperr derr rderr chisq
MIPAS 60 -12.5 28329789.4	-2425076.19	7430603.87	1241940.92	-1423772.01	26133751.5	1112523.98 	0.427491 	8850654.43	0.276749715 	14.9339765	120 2315727.98	1679265.95	1750691.51	1684161.93	1668191.72	3316558.73	1412752.53 	1151740.39	0.0345224643	915352749
SCIAMACHY 60 -12.5 -34271.2667	-5870164.74	1471489.71	-1072806.95	816269.403	5077267.31	1847690.27 	0.615164 	-25520647.4	-0.83958145 	7.45969744	28 1599866.39	1478826.5	1357838.56	1259615.43	1353426.49	2651207.31	1595766.13 	1434740.96	0.0424601729	802244216
reference 60 -12.5 20179793.3	-1860741.49	5317924.72	2528150.64	1354205.86	20069117.6	2171459.45 	0.196424 	0.0	0.0 	7.17014232	176 2712896.8	2103101.18	2064272.95	2079335.17	1990155.96	3981666.91	1750302.63 	0.1	0.01	1.0
ACE-FTS 60 -7.5 9301770.06	-3122248.81	-331745.28	-22598987	6296389.03	-2076708.28	-333139.663 	0.362870 	-9889405.94	-0.331069833 	1.23399838	13 15095797.2	2301276.88	2201765.18	28651588.1	6174042.15	4054700.47	1235437.48 	2413648.51	0.0613686325	107978043
MIPAS 60 -7.5 27031499.9	-1905257.44	6862199.99	-463384.272	-128617.294	23874864.8	1642871.96 	0.470635 	8249631.07	0.267397408 	18.0774755	122 1958536.28	1411252.26	1481972.17	1416773.19	1411328.7	2790435.62	1191451.06 	968335.367	0.028987543	725252966
SCIAMACHY 60 -7.5 9903.37434	-5987449.6	872666.458	-844617.67	1040992.43	4166132.64	2146933.02 	0.560250 	-24067063.6	-0.825969997 	6.15775418	29 1650623.14	1557139.85	1419318.64	1372879.56	1395672.38	2709378.07	1643686.7 	1342365.44	0.0424445632	769817738
reference 60 -7.5 19759248.5	-1530226.74	5129437.62	950367.183	2079174.63	18536972	2236273.02 	0.199324 	0.0	0.0 	7.38533771	178 2421993.67	1910132.14	1874237.49	1904477.26	1786176.32	3608507.21	1559655.32 	0.1	0.01	1.0
ACE-FTS 60 -2.5 -4967936.86	-4936523.87	1460903.75	-45316481	9505528.68	-3648219.11	1717113.13 	0.215379 	-8863870.8	-0.317150214 	0.594752269	13 19904814.8	3412691.04	2146265.04	38957070.7	7846790.51	5837739.27	1955499.47 	2445141	0.072195664	108485839
MIPAS 60 -2.5 27406729.3	689950.602	8811570.37	2498618.66	1050063.48	20427492.9	2060498.7 	0.436048 	8210897.27	0.271780341 	15.7217452	122 2027329.9	1460822.52	1534026.46	1466537.37	1460901.64	2888449.71	1233300.79 	1009963.03	0.0299899371	769335436
SCIAMACHY 60 -2.5 242525.171	-5798617.92	476253.665	66374.7343	1231494.99	3580050.68	2176192.66 	0.557752 	-23208640.3	-0.824258073 	6.51607202	31 1492111.48	1352199.77	1306206.28	1260093.81	1249136.88	2388665.99	1477951.71 	1354298.21	0.0448971122	785972331
reference 60 -2.5 18684927.6	-427826.016	5721472.49	3350248.59	2360302.47	15342421.9	3631795.04 	0.193864 	0.0	0.0 	7.2145503	180 2446469.51	1902104.77	1852719.82	1893514.24	1783113.69	3587563.84	1615718.65 	0.1	0.01	1.0
ACE-FTS 60 2.5 26917700.6	-66342.1179	2636829.87	21548692.5	-5075369.34	-3524100.41	3760970.71 	0.521018 	-10743970	-0.348390658 	2.71940425	15 12656951.2	2459232.15	1244636.26	23477653.4	4706780.22	4579949.29	1677801 	1750667.4	0.0448462941	106767793
MIPAS 60 2.5 29732651.5	1805879.32	8685275.98	1592656.62	1043004.43	21974437	1143913.49 	0.471551 	9008946.04	0.291292596 	18.1440256	122 1946764.92	1402770.23	1473065.09	1408257.97	1402846.21	2773664.3	1184290.1 	964350.222	0.0291070934	783869921
SCIAMACHY 60 2.5 -27334.9552	-3464813.57	239656.823	-1071422.69	1685015.23	5844952.7	1788246.42 	0.416903 	-24362807.9	-0.838130775 	3.69406618	31 1844254.09	1727606.6	1601938.61	1434939.96	1611789.13	3165763.08	1906737.76 	1399583.06	0.0415522327	836090758
reference 60 2.5 19969208.2	742043.596	5843327.34	2468783.04	1694153.33	17402805.4	2843868.86 	0.196201 	0.0	0.0 	7.40411894	182 2479625.02	1948594.17	1867580.08	1912882.13	1822937.96	3745350.45	1681472.45 	0.1	0.01	1.0
ACE-FTS 60 7.5 19472401.3	-298799.611	-2037724.9	6038284.44	-570352.782	5124558.02	337800.06 	0.241437 	-7982366.75	-0.295126718 	1.1670342	22 11476184.8	2215341.97	1216338.89	22844667.3	4597481.07	4395608.1	1083849.14 	1621045.67	0.0514979514	121704602
MIPAS 60 7.5 29538074.4	984211.54	7380450.51	4370547.09	1127465.7	20004893.4	532601.419 	0.427918 	8559201.37	0.284045987 	15.2093857	122 1892159.22	1363423.29	1431746.41	1368757.1	1363497.13	2695864.53	1151071.4 	937773.95	0.0288058789	747238350
SCIAMACHY 60 7.5 746649.702	-1898452.05	985653.323	-1845782.24	1837817.37	6629928.99	1487169.61 	0.355323 	-23585090.3	-0.825614016 	2.75582434	30 1990766.7	1820013.76	1691743.15	1638187.97	1645288.75	3275375	1973784.09 	1423618.79	0.0399053944	777382951
reference 60 7.5 21260744	648531.006	3908108.67	4644580.17	2494870.73	16499679	1089506.35 	0.177707 	0.0	0.0 	6.77149691	188 2226575.81	1819129.56	1710029.66	1814664.46	1665796.52	3516789.06	1456765.26 	0.1	0.01	1.0
ACE-FTS 60 12.5 20000411.6	6064768.37	1620744.29	2747796.51	-1814163.62	2572194.17	-1722587.43 	0.405935 	-8960443.02	-0.332120501 	1.48052238	13 3375099.75	3676083.63	1871034.16	4787271.33	2545978.79	9326699.68	2633275.74 	1865354.76	0.0610030295	93926032.4
MIPAS 60 12.5 32111042.9	4574068.6	6140485.86	5380704.38	-845252.57	22576273.5	-1417191.32 	0.459710 	7960467.62	0.256412805 	17.3007564	122 1957588.78	1410569.53	1481255.22	1416087.78	1410645.92	2789085.66	1190874.66 	977990.045	0.0328861768	784946943
SCIAMACHY 60 12.5 312111.476	334770.116	2220468.32	-1715974.47	1207285.08	6668517.13	2682125.83 	0.333734 	-24219756.1	-0.827648592 	2.33754197	28 2137982.54	2009697.54	2030999.97	1735706.03	1897091.98	3490193.58	2153804.51 	1555254.25	0.0449654751	763128512
reference 60 12.5 22429498.2	4916244.35	5580411.59	4887740.79	2304223.29	18035928.7	1148157.21 	0.217431 	0.0	0.0 	8.19634461	177 2425934.24	1894782.37	1873210.46	1859971.7	1782056.52	3667805.58	1646417.25 	0.1	0.01	1.0
ACE-FTS 60 17.5 16816411.7	2692149.54	1778519.36	4360027.38	1177889.24	4607659.67	2767061.01 	0.287697 	-9890079.03	-0.328446494 	0.740476778	11 6218376.4	4837734.24	2800967.86	6457992.55	3237739.56	8471990.62	2837417.86 	2085809.53	0.0674514077	94470655
MIPAS 60 17.5 32318712.5	7196707.13	6463735.55	3111290.93	-1504532.05	23804965.8	-814150.923 	0.516843 	8121430.65	0.258238946 	21.7509558	122 1955074.75	1408758.01	1479352.92	1414269.17	1408834.31	2785503.79	1189345.28 	1001027.79	0.0359877397	851738654
SCIAMACHY 60 17.5 152334.561	2877474.09	1824589.02	-1051455.16	1298504.07	6918165.03	3363303.45 	0.357220 	-23503868.4	-0.830500017 	2.7787144	30 2044371.02	2006284.76	1866362.19	1615735.69	1826374.83	3517091.48	2269512.8 	1478786.98	0.0523758694	798725283
reference 60 17.5 21122931.9	7038456.56	6214152.52	4254223.35	2278085.52	18897820.7	2667809.57 	0.261419 	0.0	0.0 	10.4414493	177 2448917.72	1918375.33	1857345.56	1872300.68	1814038.41	3670181.44	1663803.18 	0.1	0.01	1.0
ACE-FTS 60 22.5 45147903.5	7036407.52	3534035.91	17346991.6	9088789	-19624474.8	-7919861.32 	0.295776 	-11358880.8	-0.388887315 	0.840004668	12 19555727.6	12773332	7690796.33	14273941.3	9749519.66	24375688.3	7043731.53 	5128244.7	0.175896998	382606132
MIPAS 60 22.5 28620306.4	9498138.23	4799794.67	4542886.42	-1205684.14	20520913.3	1247481.93 	0.609544 	8315169.36	0.291304889 	31.7425638	122 1632338.41	1176205.56	1235146.93	1180806.97	1176269.27	2325683.36	993012.66 	817998.703	0.0308434908	722654399
SCIAMACHY 60 22.5 346518.101	4403087.74	2049359.33	-2219225.05	1479071.3	8991198.07	1739351.93 	0.429751 	-21970208	-0.858047069 	4.01931316	32 1922519.61	1661022.68	1740399.82	1554856.03	1617417.79	3003615.5	1916634.36 	1361201.06	0.0589641493	828404983
reference 60 22.5 19559190.4	8885837.53	5559130.65	4243253.83	2752581.61	18042263.1	2098354.97 	0.266474 	0.0	0.0 	10.8983595	180 2453005.88	1874810.22	1872992.19	1886705.6	1804728.01	3661602.9	1607707.03 	0.1	0.01	1.0
ACE-FTS 60 27.5 9968177.78	17091400.6	1776860.6	-4743371.84	2662204.82	4845674.39	1241981.27 	0.549615 	-12521538.5	-0.381366876 	2.44064597	12 6251804.66	4941931.06	3140081.12	6625804.53	3322956.41	8366905.08	2195334.15 	2334290.94	0.0858761778	147867131
MIPAS 60 27.5 31688522.8	12949904.4	3108605.33	7283070.05	480691.786	17266024.5	2158992.32 	0.547236 	8446666.89	0.270865966 	24.5759686	122 2041699.2	1471176.53	1544899.33	1476931.88	1471256.21	2908922.45	1242042.18 	995586.599	0.0349648805	859814951
SCIAMACHY 60 27.5 253367.085	3736760.55	646780.003	-2140822.88	1535025.68	9016218.38	1296605.43 	0.520476 	-22413442	-0.871431092 	5.60791711	31 1634444.27	1694092.8	1344083.01	1358605.51	1365576.24	2572506.87	1615770.38 	1442051.56	0.0489090314	808789781
reference 60 27.5 21726663.8	12832089.4	3171945.11	7885812.53	3417996.96	14990821.6	3678006.01 	0.335224 	0.0	0.0 	15.043972	179 2430849.36	1941797.23	1850339.97	1907885.32	1772732.51	3664170.3	1613167.87 	0.1	0.01	1.0
ACE-FTS 60 32.5 25108625.6	1988983.62	-645114.344	713700.474	6750717.51	-6291704.68	619809.704 	0.711121 	-13746759.2	-0.363044474 	8.20553857	20 2320734.52	2219699.4	3101666.33	1532048.13	2954972.92	3131915.47	1084874.02 	1637593.65	0.0304257609	159863852
