 3547    2
  246.8384    1.18550E-25    1.00775E-17
  246.9572    1.18295E-25    1.01328E-17
  247.0759    1.18041E-25    1.01999E-17
  247.1946    1.17787E-25    1.02595E-17
  247.3132    1.17535E-25    1.03081E-17
  247.4317    1.17284E-25    1.03426E-17
  247.5503    1.17033E-25    1.03795E-17
  247.6687    1.16783E-25    1.04082E-17
  247.7872    1.16533E-25    1.04209E-17
  247.9055    1.16285E-25    1.03991E-17
  248.0239    1.16037E-25    1.03789E-17
  248.1422    1.15790E-25    1.03674E-17
  248.2604    1.15544E-25    1.03836E-17
  248.3786    1.15299E-25    1.04248E-17
  248.4967    1.15054E-25    1.04967E-17
  248.6148    1.14811E-25    1.05827E-17
  248.7328    1.14568E-25    1.06691E-17
  248.8508    1.14325E-25    1.07358E-17
  248.9688    1.14084E-25    1.07687E-17
  249.0867    1.13843E-25    1.07764E-17
  249.2045    1.13603E-25    1.07576E-17
  249.3223    1.13364E-25    1.07471E-17
  249.4401    1.13125E-25    1.07576E-17
  249.5578    1.12887E-25    1.07893E-17
  249.6754    1.12650E-25    1.08293E-17
  249.7931    1.12414E-25    1.08656E-17
  249.9106    1.12178E-25    1.08834E-17
  250.0282    1.11943E-25    1.08811E-17
  250.1456    1.11709E-25    1.08572E-17
  250.2631    1.11476E-25    1.08213E-17
  250.3804    1.11243E-25    1.07911E-17
  250.4978    1.11011E-25    1.07641E-17
  250.6151    1.10780E-25    1.07614E-17
  250.7323    1.10549E-25    1.07619E-17
  250.8495    1.10320E-25    1.07828E-17
  250.9667    1.10090E-25    1.08023E-17
  251.0838    1.09862E-25    1.08282E-17
  251.2009    1.09634E-25    1.08753E-17
  251.3179    1.09407E-25    1.09623E-17
  251.4349    1.09181E-25    1.10723E-17
  251.5518    1.08955E-25    1.11764E-17
  251.6687    1.08730E-25    1.12354E-17
  251.7856    1.08505E-25    1.12467E-17
  251.9024    1.08282E-25    1.12252E-17
  252.0191    1.08059E-25    1.11877E-17
  252.1358    1.07837E-25    1.11458E-17
  252.2525    1.07615E-25    1.11027E-17
  252.3691    1.07394E-25    1.10563E-17
  252.4857    1.07174E-25    1.10224E-17
  252.6023    1.06954E-25    1.10060E-17
  252.7188    1.06735E-25    1.10035E-17
  252.8352    1.06517E-25    1.10258E-17
  252.9516    1.06299E-25    1.10509E-17
  253.0680    1.06082E-25    1.10697E-17
  253.1843    1.05866E-25    1.10931E-17
  253.3006    1.05650E-25    1.11295E-17
  253.4169    1.05435E-25    1.11721E-17
  253.5331    1.05220E-25    1.12098E-17
  253.6492    1.05006E-25    1.12278E-17
  253.7653    1.04793E-25    1.12372E-17
  253.8814    1.04581E-25    1.12455E-17
  253.9974    1.04369E-25    1.12344E-17
  254.1134    1.04158E-25    1.12062E-17
  254.2294    1.03947E-25    1.11552E-17
  254.3453    1.03737E-25    1.10990E-17
  254.4612    1.03527E-25    1.10495E-17
  254.5770    1.03318E-25    1.10355E-17
  254.6928    1.03110E-25    1.10600E-17
  254.8085    1.02903E-25    1.11194E-17
  254.9242    1.02696E-25    1.12039E-17
  255.0399    1.02489E-25    1.12932E-17
  255.1555    1.02284E-25    1.13778E-17
  255.2711    1.02078E-25    1.14222E-17
  255.3866    1.01874E-25    1.14135E-17
  255.5021    1.01670E-25    1.13759E-17
  255.6176    1.01466E-25    1.13304E-17
  255.7330    1.01264E-25    1.12787E-17
  255.8484    1.01061E-25    1.12321E-17
  255.9637    1.00860E-25    1.11869E-17
  256.0790    1.00659E-25    1.11375E-17
  256.1943    1.00458E-25    1.10806E-17
  256.3095    1.00259E-25    1.10178E-17
  256.4247    1.00059E-25    1.09613E-17
  256.5399    9.98604E-26    1.09249E-17
